id,username,place_id,content,date,rating
0,74G1 Úts,121,"Một địa chỉ hết sức đặc biệt và ý nghĩa đối với mình. Nó nằm ngoài lịch trình những địa điểm cần đến của chuyến đi miền Tây làn này.
Nhưng mình cảm thấy tự hào và thật tuyệt khi được biết và đi ghé qua đây.
Nơi đây có những hiện vật được phục chế, những vũ khí tối tân của quân đội Mỹ- Ngụy,  cùng với đó là những vũ khí hết sức thô sơ của quân dân ta trong công cuộc kháng chiến đế quốc đô hộ. Ngoài ra còn những hiện vật là nhạc cụ dân tộc, văn hóa cội nguồn, những cái riêng của Đờn ca tài tử Nam Bộ cũng có ở đây.
Ghé qua đây đã làm cuộc hành trình của mình thêm 1 phần ý nghĩa.

Út chinh phục 13 tỉnh miền Tây
#Út74G1ghéqua",2024-05-11 22:16:11,1
1,74G1 Úts,75,"Trên hành trình chinh phục miền Tây di chuyển từ Tp Cà Mau lên Tp Trà Vinh có ghé qua đây

Ngôi chùa rất đẹp, có lối kiến trúc mang đậm nét người Khmer
Có vài công trình đang trong quá trình tu sửa, làm mới chỉnh trang lại.
Ngay gần đường quốc lộ nên di chuyển cũng dễ.

#Hành trình chinh phục 13 tỉnh miền Tây của Út
#ngày thứ 6
#29122024
#Út74G1ghéqua",2021-12-20 06:05:05,1
2,74G1 Úts,180,"Đầu những năm 1960, đây là địa điểm xuất phát của những tiếng súng đầu tiên, mở đầu cho cuộc phong trào Đồng Khởi của phong trào cách mạng miền Nam Việt Nam.
Đến đây vào 1 ngày nắng đẹp, đi dạo quanh 1 vòng, tận hưởng cái không khí của sự hòa bình - độc lập - tự do.
Một địa chỉ mình nghĩ nhất định phải đến ở Bến Tre.
Út đi miền Tây 2024",2022-01-13 22:12:25,4
3,74G1 Úts,2,"Một địa điểm thư giản, tránh nắng rất lý tưởng. Có hồ, cây xanh,xung quanh có nhiều người bán đồ ăn vặt, giải khát. Có những món rất ngon.
Trời mùa hè hoặc những ngày nắng gắt đến đây rất chill rất hợp lý.
Liền cạnh 1 bên có ngôi chùa theo kiểu kiến trúc Khơme rất đẹp.
#Út74G1ghéqua
Út đi chinh phục 13 tỉnh miền Tây có ghé qua đây.",2024-01-21 15:12:47,2
4,7985 Sunguyen,395,"Tượng đài vua Lê Thái Tổ bên là di tích của Hà Nội, thể hiện truyền thống văn hóa tốt đẹp của dân tộc, đồng thời tôn thêm vẻ đẹp của thắng cảnh hồ Gươm.
Tượng Vua Lê được xây dựng năm 1889. Dạo quanh Hồ Gươm, có rất nhiều thứ để ngắm nhìn, một khoảng không gian xanh mát, cùng với từng loại cây. tượng vua Lê Thái Tổ vị trí nằm ở phía Tây hồ Hoàn Kiếm, ngay trên bệ đá cao chót vót hình trụ tròn, chân bệ choãi ra như một chiếc trống đồng lịch sử. Tượng vua Lê Thái Tổ, mình mặc áo hoàng bào, đầu đội mũ bình thiên, trong tư thế uy nghi cầm kiếm nhìn ra phương Bắc. Đây là pho tượng cổ thuộc loại hiếm của Hà Nội, hình ảnh thanh kiếm đã đi vào truyền thuyết dân tộc. Để di chuyển đến hồ Hoàn Kiếm có rất nhiều cách, bạn có thể lựa chọn di chuyển bằng phương tiện cá nhân và phương tiện công cộng.",2023-08-05 07:15:04,5
5,7985 Sunguyen,256,"Lăng mộ danh y Hải Thượng Lãn Ông là một quần thể kiến trúc hoành tráng và uy nghi, tọa lạc ở một địa thế rất đẹp.
Nằm ở xã Sơn Trung, huyện Hương Sơn, lăng mộ của danh y Hải Thượng Lãn Ông là một trong những di tích lịch sử quan trọng nhất của tỉnh Hà Tĩnh.
Được tôn tạo và khánh thành năm 2004, lăng mộ là một quần thể kiến trúc hoành tráng và uy nghi, gồm nhiều công trình khác nhau như trụ biểu, nhà bia, nhà tiền tế, mộ phần... tọa lạc ở một địa thế rất đẹp.
Truyền thuyết kể lại rằng, sinh thời Hải Thượng Lãn Ông thường thả diều trên các đỉnh gần nhà và ông dặn dò con cháu đến lúc diều rơi ở đâu thì khi ông mất an táng ông ở đó.
Theo lời căn dặn ấy, mộ của ông bây giờ nằm ở chân núi Cánh Diều thuộc dãy núi Minh Tự, lưng tựa núi, mặt hướng ra sông Ngàn Phố.
Ngôi mộ nằm trên một triền dốc thoai thoải, được thiết kế theo hình dáng của một ngôi nhà truyền thống, thẳng hướng với đỉnh cao nhất của dãy núi Minh Tự.",2021-07-06 19:34:20,5
6,7985 Sunguyen,360,"Đã được cải tạo rất nhiều, độ cao được hạ thấp xuống có chỗ lên tới 400m nên giờ rất dễ đi, đường đẹp. Vào những ngày có nhiều sương mù trên đỉnh đèo rất mờ mịt, muốn ngắm cảnh nên chọn ngày nắng to, trời trong, đứng trên đỉnh đèo nhìn ra xung quanh thật tuyệt vời, rất thích hợp cho các bạn checkin, sống ảo.
Đèo Pha Đin hay Dốc Pha Đin là đèo núi trên quốc lộ 6 ở ranh giới xã Phổng Lái huyện Thuận Châu tỉnh Sơn La và xã Tỏa Tình huyện Tuần Giáo tỉnh Điện Biên

Đèo có độ dài 32 km. Điểm khởi đầu của đèo cách Thành phố Sơn La về phía Tây 66 km còn điểm cuối của đèo cách Thành phố Điện Biên Phủkhoảng 84 km.

Du khách thường xếp đèo Pha Đin vào một trong ""tứ đại đèo"" vùng Tây Bắc, bên cạnh Đèo Ô Quy Hồ, Đèo Khau Phạ và Đèo Mã Pí Lèng. Cũng có khi đèo được xếp cùng nhóm sáu con đèo gây ấn tượng nhất Việt Nam bao gồm Khau Phạ, Hồng Thu Mán (trên Quốc lộ 4D, thuộc Pa So Phong Thổ, Lai Châu), Ô Quy Hồ, Hải Vân và Hòn Giao (thuộc Hòn Giao, Khánh Hòa).

Tên gọi đèo Pha Đin nguyên gốc xuất xứ từ tiếng Thái, Phạ Đin, trong đó Phạ nghĩa là ""trời"", Đin là ""đất"" hàm nghĩa nơi đây là chỗ tiếp giáp giữa trời và đất.

Người Lai Châu cũ (nay là Điện Biên) và Sơn La từ xa xưa còn lưu truyền câu chuyện kể về cuộc bàn thảo tìm cách vạch định ranh giới của hai địa phương bằng một cuộc đua ngựavượt dốc Pha Đin. Người và ngựa của cả hai phía đều đồng thời xuất phát từ hai dốc đèo. Hai dũng sĩ và hai con tuấn mã đều có sức mạnh và ý chí như nhau nên khoảng cách mà họ đi được cho tới địa điểm gặp nhau trên đèo không chênh lệch bao nhiêu. Tuy vậy, phần ngựa Lai Châu phi nhanh hơn nên phần đèo thuộc về Lai Châu dài hơn một chút so với phần phía Sơn La.",2021-03-31 04:11:05,4
7,7985 Sunguyen,19,"Bãi biển đẹp và còn hoang sơ. Không thuận tiện lắm và rất ít dịch vụ nhưng được cái còn gần như nguyên bản. Sạch, đẹp, nước rất trong và con người thân thiện",2023-07-16 06:05:01,3
8,Alex,262,"Đẹp vô cùng. Các cô chú chèo thuyền rất tinh tế, tắt máy xuồng hoặc chèo chậm lại để du khách thoải mái ngắm và chụp ảnh ở những đoạn rừng đẹp. Có chú lái thuyền máy còn kiếm luôn hướng dẫn viên cho mình, quá dễ thương 💖",2022-06-14 02:53:09,1
9,Alex,261,"Đẹp vô cùng. Các cô chú chèo thuyền rất tinh tế, tắt máy xuồng hoặc chèo chậm lại để du khách thoải mái ngắm và chụp ảnh ở những đoạn rừng đẹp. Có chú lái thuyền máy còn kiếm luôn hướng dẫn viên cho mình, quá dễ thương 💖",2023-03-11 04:08:49,2
